# tau_fs It_norm phiet_rel_rad
8.1108768000e+01 9.3905866995e-05 3.1393067377e+00
8.3494320000e+01 6.0282823224e-05 3.3002697217e+00
8.5879872000e+01 3.7472236217e-05 3.4725299280e+00
8.8265424000e+01 2.2585116482e-05 3.6583071921e+00
9.0650976000e+01 1.3290310675e-05 3.8600665480e+00
9.3036528000e+01 7.7423030020e-06 4.0784512042e+00
9.5422080000e+01 4.5503748490e-06 4.3093622209e+00
9.7807632000e+01 2.7440182404e-06 4.5419914349e+00
1.0019318400e+02 1.7073543434e-06 4.7606363898e+00
1.0257873600e+02 1.0872909936e-06 4.9501185002e+00
1.0496428800e+02 6.9882712434e-07 5.1002360772e+00
1.0734984000e+02 4.4916991561e-07 5.2063794496e+00
1.0973539200e+02 2.8923793230e-07 5.2684260778e+00
1.1212094400e+02 1.8890177560e-07 5.2908836727e+00
1.1450649600e+02 1.2707140023e-07 5.2842708907e+00
1.1689204800e+02 8.8615384451e-08 5.2646195333e+00
1.1927760000e+02 6.3364645234e-08 5.2488348760e+00
1.2166315200e+02 4.5275468505e-08 5.2490621992e+00
1.2404870400e+02 3.1346240605e-08 5.2709827345e+00
1.2643425600e+02 2.0435161769e-08 5.3161764121e+00
1.2881980800e+02 1.2229963914e-08 5.3857409477e+00
1.3120536000e+02 6.5538629452e-09 5.4840397002e+00
1.3359091200e+02 3.0565190218e-09 5.6244075845e+00
1.3597646400e+02 1.2039411182e-09 5.8430323937e+00
1.3836201600e+02 4.1190284864e-10 6.2329544157e+00
1.4074756800e+02 1.8369521195e-10 6.9057975240e+00
1.4313312000e+02 1.8056386109e-10 7.5549066521e+00
1.4551867200e+02 2.2000675116e-10 7.9131839262e+00
1.4790422400e+02 2.3244561129e-10 8.1036733469e+00
1.5028977600e+02 2.0998979859e-10 8.2161808448e+00
1.5267532800e+02 1.6751954633e-10 8.2880941756e+00
1.5506088000e+02 1.2130622463e-10 8.3367100212e+00
1.5744643200e+02 8.1377766227e-11 8.3716882275e+00
1.5983198400e+02 5.1360601025e-11 8.3993799804e+00
1.6221753600e+02 3.0867060719e-11 8.4243974714e+00
1.6460308800e+02 1.7829630052e-11 8.4502888454e+00
1.6698864000e+02 9.9592643501e-12 8.4800613984e+00
1.6937419200e+02 5.3881745991e-12 8.5168718495e+00
1.7175974400e+02 2.8100503751e-12 8.5650286919e+00
1.7414529600e+02 1.3946658174e-12 8.6315655753e+00
1.7653084800e+02 6.4466955389e-13 8.7293195272e+00
1.7891640000e+02 2.7019747584e-13 8.8842169209e+00
1.8130195200e+02 1.0218345815e-13 9.1518995316e+00
1.8368750400e+02 4.0592953184e-14 9.6237823043e+00
